2022-04-27 19:31:33 status unpacked base-passwd:armhf 3.5.44
2022-04-27 19:31:33 status unpacked base-passwd:armhf 3.5.44
2022-04-27 19:31:33 install bash:armhf <none> 4.4.18-2ubuntu1
2022-04-27 19:31:33 status half-installed bash:armhf 4.4.18-2ubuntu1
2022-04-27 19:31:33 status unpacked bash:armhf 4.4.18-2ubuntu1
2022-04-27 19:31:33 status unpacked bash:armhf 4.4.18-2ubuntu1
2022-04-27 19:31:33 install bsdutils:armhf <none> 1:2.31.1-0.4ubuntu3
2022-04-27 19:31:33 status half-installed bsdutils:armhf 1:2.31.1-0.4ubuntu3
2022-04-27 19:31:33 status unpacked bsdutils:armhf 1:2.31.1-0.4ubuntu3
2022-04-27 19:31:33 status unpacked bsdutils:armhf 1:2.31.1-0.4ubuntu3
2022-04-27 19:31:33 install coreutils:armhf <none> 8.28-1ubuntu1
2022-04-27 19:31:33 status half-installed coreutils:armhf 8.28-1ubuntu1
2022-04-27 19:31:33 status unpacked coreutils:armhf 8.28-1ubuntu1
2022-04-27 19:31:33 status unpacked coreutils:armhf 8.28-1ubuntu1
2022-04-27 19:31:34 install dash:armhf <none> 0.5.8-2.10
2022-04-27 19:31:34 status half-installed dash:armhf 0.5.8-2.10
2022-04-27 19:31:34 status unpacked dash:armhf 0.5.8-2.10
2022-04-27 19:31:34 status unpacked dash:armhf 0.5.8-2.10
2022-04-27 19:31:34 install debconf:all <none> 1.5.66
2022-04-27 19:31:34 status half-installed debconf:all 1.5.66
2022-04-27 19:31:34 status unpacked debconf:all 1.5.66
2022-04-27 19:31:34 status unpacked debconf:all 1.5.66
2022-04-27 19:31:34 install debianutils:armhf <none> 4.8.4
2022-04-27 19:31:34 status half-installed debianutils:armhf 4.8.4
2022-04-27 19:31:34 status unpacked debianutils:armhf 4.8.4
2022-04-27 19:31:34 status unpacked debianutils:armhf 4.8.4
2022-04-27 19:31:34 install diffutils:armhf <none> 1:3.6-1
2022-04-27 19:31:34 status half-installed diffutils:armhf 1:3.6-1
2022-04-27 19:31:34 status unpacked diffutils:armhf 1:3.6-1
2022-04-27 19:31:34 status unpacked diffutils:armhf 1:3.6-1
2022-04-27 19:31:34 upgrade dpkg:armhf 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2022-04-27 19:31:34 status half-configured dpkg:armhf 1.19.0.5ubuntu2
2022-04-27 19:31:34 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2022-04-27 19:31:34 status half-installed dpkg:armhf 1.19.0.5ubuntu2
2022-04-27 19:31:34 status half-installed dpkg:armhf 1.19.0.5ubuntu2
2022-04-27 19:31:34 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2022-04-27 19:31:34 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2022-04-27 19:31:34 install e2fsprogs:armhf <none> 1.44.1-1
2022-04-27 19:31:34 status half-installed e2fsprogs:armhf 1.44.1-1
2022-04-27 19:31:34 status unpacked e2fsprogs:armhf 1.44.1-1
2022-04-27 19:31:34 status unpacked e2fsprogs:armhf 1.44.1-1
2022-04-27 19:31:34 install fdisk:armhf <none> 2.31.1-0.4ubuntu3
2022-04-27 19:31:34 status half-installed fdisk:armhf 2.31.1-0.4ubuntu3
2022-04-27 19:31:34 status unpacked fdisk:armhf 2.31.1-0.4ubuntu3
2022-04-27 19:31:34 status unpacked fdisk:armhf 2.31.1-0.4ubuntu3
2022-04-27 19:31:34 install findutils:armhf <none> 4.6.0+git+20170828-2
2022-04-27 19:31:34 status half-installed findutils:armhf 4.6.0+git+20170828-2
2022-04-27 19:31:35 status unpacked findutils:armhf 4.6.0+git+20170828-2
2022-04-27 19:31:35 status unpacked findutils:armhf 4.6.0+git+20170828-2
2022-04-27 19:31:35 install gcc-8-base:armhf <none> 8-20180414-1ubuntu2
2022-04-27 19:31:35 status half-installed gcc-8-base:armhf 8-20180414-1ubuntu2
2022-04-27 19:31:35 status unpacked gcc-8-base:armhf 8-20180414-1ubuntu2
2022-04-27 19:31:35 status unpacked gcc-8-base:armhf 8-20180414-1ubuntu2
2022-04-27 19:31:35 install grep:armhf <none> 3.1-2
2022-04-27 19:31:35 status half-installed grep:armhf 3.1-2
2022-04-27 19:31:35 status unpacked grep:armhf 3.1-2
2022-04-27 19:31:35 status unpacked grep:armhf 3.1-2
