2022-04-28 00:03:20 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2022-04-28 00:03:20 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2022-04-28 00:03:20 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2022-04-28 00:03:20 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2022-04-28 00:03:20 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2022-04-28 00:03:20 status half-configured dpkg:amd64 1.19.0.5ubuntu2
2022-04-28 00:03:20 status installed dpkg:amd64 1.19.0.5ubuntu2
2022-04-28 00:03:20 startup archives install
2022-04-28 00:03:20 install libc6:amd64 <none> 2.27-3ubuntu1
2022-04-28 00:03:20 status half-installed libc6:amd64 2.27-3ubuntu1
2022-04-28 00:03:21 status unpacked libc6:amd64 2.27-3ubuntu1
2022-04-28 00:03:21 status unpacked libc6:amd64 2.27-3ubuntu1
2022-04-28 00:03:21 configure libc6:amd64 2.27-3ubuntu1 2.27-3ubuntu1
2022-04-28 00:03:21 status unpacked libc6:amd64 2.27-3ubuntu1
2022-04-28 00:03:21 status unpacked libc6:amd64 2.27-3ubuntu1
2022-04-28 00:03:21 status half-configured libc6:amd64 2.27-3ubuntu1
2022-04-28 00:03:21 status installed libc6:amd64 2.27-3ubuntu1
2022-04-28 00:03:21 startup archives install
2022-04-28 00:03:21 install perl-base:amd64 <none> 5.26.1-6
2022-04-28 00:03:21 status half-installed perl-base:amd64 5.26.1-6
2022-04-28 00:03:21 status unpacked perl-base:amd64 5.26.1-6
2022-04-28 00:03:21 status unpacked perl-base:amd64 5.26.1-6
2022-04-28 00:03:21 configure perl-base:amd64 5.26.1-6 5.26.1-6
2022-04-28 00:03:21 status unpacked perl-base:amd64 5.26.1-6
2022-04-28 00:03:21 status half-configured perl-base:amd64 5.26.1-6
2022-04-28 00:03:21 status installed perl-base:amd64 5.26.1-6
2022-04-28 00:03:21 startup archives install
2022-04-28 00:03:21 install mawk:amd64 <none> 1.3.3-17ubuntu3
2022-04-28 00:03:21 status half-installed mawk:amd64 1.3.3-17ubuntu3
2022-04-28 00:03:21 status unpacked mawk:amd64 1.3.3-17ubuntu3
2022-04-28 00:03:21 status unpacked mawk:amd64 1.3.3-17ubuntu3
2022-04-28 00:03:21 configure mawk:amd64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2022-04-28 00:03:21 status unpacked mawk:amd64 1.3.3-17ubuntu3
2022-04-28 00:03:21 status half-configured mawk:amd64 1.3.3-17ubuntu3
2022-04-28 00:03:21 status installed mawk:amd64 1.3.3-17ubuntu3
2022-04-28 00:03:21 startup archives unpack
2022-04-28 00:03:21 upgrade base-files:amd64 10.1ubuntu2 10.1ubuntu2
2022-04-28 00:03:21 status half-configured base-files:amd64 10.1ubuntu2
2022-04-28 00:03:21 status unpacked base-files:amd64 10.1ubuntu2
2022-04-28 00:03:21 status half-installed base-files:amd64 10.1ubuntu2
2022-04-28 00:03:21 status half-installed base-files:amd64 10.1ubuntu2
2022-04-28 00:03:21 status unpacked base-files:amd64 10.1ubuntu2
2022-04-28 00:03:21 status unpacked base-files:amd64 10.1ubuntu2
2022-04-28 00:03:21 upgrade base-passwd:amd64 3.5.44 3.5.44
2022-04-28 00:03:21 status half-configured base-passwd:amd64 3.5.44
2022-04-28 00:03:21 status unpacked base-passwd:amd64 3.5.44
2022-04-28 00:03:21 status half-installed base-passwd:amd64 3.5.44
2022-04-28 00:03:21 status half-installed base-passwd:amd64 3.5.44
2022-04-28 00:03:21 status unpacked base-passwd:amd64 3.5.44
2022-04-28 00:03:21 status unpacked base-passwd:amd64 3.5.44
2022-04-28 00:03:21 install bash:amd64 <none> 4.4.18-2ubuntu1
2022-04-28 00:03:21 status half-installed bash:amd64 4.4.18-2ubuntu1
2022-04-28 00:03:21 status unpacked bash:amd64 4.4.18-2ubuntu1
